q_A^-1,intensity,sigma,intensity_fit
4.455313250753588166e-04,2.271735688341993373e+06,9.923347757450734207e+04,2.157006284535492770e+06
4.534355861663153810e-04,2.277594474757474381e+06,9.728845762882624695e+04,2.165410132965863217e+06
4.614800783473826246e-04,2.281708735856948886e+06,9.533380286522829556e+04,2.173267560308977962e+06
4.696672894866124712e-04,2.284058023483538069e+06,9.337141336435271660e+04,2.180488588093477301e+06
4.779997515898240165e-04,2.284625802620664239e+06,9.140321187436980836e+04,2.186976740737615153e+06
4.864800415836623669e-04,2.283399562399086542e+06,8.943113810330026899e+04,2.192629217005889397e+06
4.951107821125495237e-04,2.280370913563737646e+06,8.745714289679570356e+04,2.197337208454309497e+06
5.038946423497687099e-04,2.275535671632477548e+06,8.548318232777460071e+04,2.200986387888494879e+06
5.128343388229472275e-04,2.268893925034896471e+06,8.351121172545733862e+04,2.203457590388387907e+06
5.219326362541750136e-04,2.260450087581599597e+06,8.154317967141643749e+04,2.204627707780501805e+06
5.311923484150342292e-04,2.250212934682529420e+06,7.958102199115356780e+04,2.204370814293225762e+06
5.406163389967977035e-04,2.238195622806853615e+06,7.762665576951490948e+04,2.202559536262501962e+06
5.502075224960606718e-04,2.224415691756174900e+06,7.568197341839387082e+04,2.199066671965099871e+06
5.599688651160921425e-04,2.208895049407140817e+06,7.374883682490770298e+04,2.193767058833673596e+06
5.699033856841702241e-04,2.191659938668495975e+06,7.182907160784883308e+04,2.186539674471449107e+06
5.800141565851962052e-04,2.172740886490597855e+06,6.992446150949102594e+04,2.177269945226854645e+06
5.903043047118737259e-04,2.152172634862114675e+06,6.803674294908632874e+04,2.165852222012487240e+06
6.007770124317377523e-04,2.129994053828298580e+06,6.616759976343013113e+04,2.152192368196523283e+06
6.114355185713500488e-04,2.106248036667385604e+06,6.431865815846984333e+04,2.136210389635768719e+06
6.222831194179451013e-04,2.080981377465471625e+06,6.249148189526401256e+04,2.117843023351231590e+06
6.333231697388565229e-04,2.054244631435246672e+06,6.068756773137583514e+04,2.097046190218175063e+06
6.445590838190193858e-04,2.026091958429231541e+06,5.890834113797184546e+04,2.073797209661526373e+06
6.559943365168885952e-04,1.996580950203042477e+06,5.715515231125327409e+04,2.048096671951245749e+06
6.676324643390821930e-04,1.965772442087865900e+06,5.542927249504296924e+04,2.019969867293423042e+06
6.794770665340949109e-04,1.933730309833106585e+06,5.373189063005569915e+04,1.989467681140122470e+06
6.915318062054173157e-04,1.900521252478983719e+06,5.206411034406858380e+04,1.956666882098555099e+06
7.038004114443945905e-04,1.866214562214263016e+06,5.042694729543159337e+04,1.921669751990555786e+06
7.162866764831956386e-04,1.830881882265100954e+06,4.882132688146524015e+04,1.884603035827756859e+06
7.289944628682249296e-04,1.794596953946847934e+06,4.724808232189603586e+04,1.845616220960780978e+06
7.419277006543606749e-04,1.757435354090267792e+06,4.570795312687630212e+04,1.804879187209286261e+06
7.550903896203792903e-04,1.719474224126767600e+06,4.420158395767855836e+04,1.762579300920799142e+06
7.684866005059365086e-04,1.680791992182807531e+06,4.272952388834256271e+04,1.718918053199246991e+06
7.821204762705039103e-04,1.641468089591232594e+06,4.129222607516747667e+04,1.674107363846700173e+06
7.959962333746297206e-04,1.601582663276039995e+06,3.989004784123403078e+04,1.628365686274331529e+06
8.101181630839421549e-04,1.561216285506739281e+06,3.852325118232501700e+04,1.581914053878645180e+06
8.244906327962760878e-04,1.520449662548167631e+06,3.719200370043935254e+04,1.534972205064621288e+06
8.391180873923520609e-04,1.479363343751278706e+06,3.589637997050661215e+04,1.487754912921307143e+06
8.540050506104184371e-04,1.438037432639523875e+06,3.463636334536709910e+04,1.440468627868301934e+06
8.691561264452727070e-04,1.396551301543571521e+06,3.341184820309422503e+04,1.393308519208902726e+06
8.845760005721163381e-04,1.354983311324586160e+06,3.222264263933959592e+04,1.346455976498981472e+06
9.002694417956557055e-04,1.313410537702344358e+06,3.106847160538403841e+04,1.300076606025573099e+06
9.162413035249268025e-04,1.271908505669664592e+06,2.994898049053985960e+04,1.254318733342230786e+06
9.324965252742715592e-04,1.230550933428807184e+06,2.886373914344368313e+04,1.209312401239419589e+06
9.490401341909520316e-04,1.189409487229026854e+06,2.781224632398151152e+04,1.165168834812353831e+06
9.658772466098665020e-04,1.148553548417367041e+06,2.679393457146804212e+04,1.121980332044905983e+06
9.830130696358385742e-04,1.108049993937631138e+06,2.580817547003295113e+04,1.079820529747579712e+06
1.000452902753992636e-03,1.067962991426281631e+06,2.485428528525317233e+04,1.038744990601371042e+06
1.018202139468684601e-03,1.028353809957940131e+06,2.393153093949123650e+04,9.987920570253027836e+05
1.036266268971518766e-03,9.892806473898598924e+05,2.303913628528290064e+04,9.599839209748069989e+05
1.054650877838957633e-03,9.507984751431774348e+05,2.217628862906024005e+04,9.223278648545450997e+05
1.073361651760039708e-03,9.129589011408295482e+05,2.134214544966349786e+04,8.858176367026360240e+05
1.092404377294763302e-03,8.758100514986645430e+05,2.053584124834187605e+04,8.504349318618169054e+05
1.111784943663651120e-03,8.393964714376814663e+05,1.975649446086464741e+04,8.161509626691506710e+05
1.131509344569075690e-03,8.037590457533970475e+05,1.900321435647073667e+04,7.829281064127150457e+05
1.151583680048893577e-03,7.689349390438254923e+05,1.827510784401693309e+04,7.507216290157592157e+05
1.172014158362963670e-03,7.349575557615943253e+05,1.757128610308986390e+04,7.194814866468183463e+05
1.192807097913132618e-03,7.018565200193002820e+05,1.689087095678933110e+04,6.891542086999136955e+05
1.213968929197288072e-03,6.696576749417353421e+05,1.623300090390545120e+04,6.596848623372665606e+05
1.235506196798082101e-03,6.383831012259218842e+05,1.559683673183655628e+04,6.310190901813490782e+05
1.257425561406921551e-03,6.080511544385757297e+05,1.498156663552650934e+04,6.031051982952292310e+05
1.279733801883888846e-03,5.786765204563736916e+05,1.438641077574144037e+04,5.758962514810925350e+05
1.302437817354185458e-03,5.502702883328013122e+05,1.381062521807148187e+04,5.493521083536939695e+05
1.325544629341784963e-03,5.228400397631116211e+05,1.325350520411657817e+04,5.234413021317593521e+05
1.349061383940937994e-03,4.963899542108699679e+05,1.271438771750627893e+04,4.981426486361557618e+05
1.372995354026188691e-03,4.709209286642372608e+05,1.219265331912074544e+04,4.734464458912881091e+05
1.397353941501620856e-03,4.464307108997963369e+05,1.168772723900053825e+04,4.493551259606110980e+05
1.422144679589987118e-03,4.229140450547710061e+05,1.119907972295244508e+04,4.258832346694523585e+05
1.447375235162464682e-03,4.003628282406292856e+05,1.072622564661355136e+04,4.030566520605329424e+05
1.473053411109742162e-03,3.787662768748626113e+05,1.026872341892509939e+04,3.809110254587695235e+05
1.499187148755160015e-03,3.581111013637520373e+05,9.826173209419865088e+03,3.594894627028872492e+05
1.525784530310684119e-03,3.383816877365447581e+05,9.398214542840865761e+03,3.388396153317134012e+05
