q_A^-1,intensity,sigma,intensity_fit
3.370295427208910150e-02,4.793260574340820312e+00,1.063332624126265558e-01,4.987184956924757273e+00
3.430088518089351862e-02,4.522512435913085938e+00,1.041402147403771988e-01,4.777441432647423269e+00
3.490942410253914524e-02,4.267198562622070312e+00,1.022736520436409863e-01,4.289646294264098714e+00
3.552875923592109519e-02,4.026426315307617188e+00,1.005622317332500043e-01,3.990400336390252711e+00
3.615908211880919376e-02,3.799282073974609375e+00,9.901399887216075224e-02,3.485208040491270864e+00
3.680058768708330957e-02,3.584997177124023438e+00,9.755854487298575017e-02,3.720460236894899797e+00
3.745347433502023426e-02,3.382812500000000000e+00,9.627935581145498356e-02,3.574625658206720846e+00
3.811794397664951262e-02,3.192077636718750000e+00,9.510335018703008902e-02,3.223654442331022274e+00
3.879420210819820025e-02,3.012203216552734375e+00,9.397352909155787248e-02,2.999961838446617790e+00
3.948245787164349901e-02,2.842605590820312500e+00,9.293263479195561227e-02,2.595754268479015359e+00
4.018292411939242137e-02,2.682754516601562500e+00,9.200441963526466427e-02,2.768234317260239052e+00
4.089581748010965440e-02,2.532253265380859375e+00,9.123414620411454679e-02,2.674469151289843083e+00
4.162135842571251798e-02,2.390605926513671875e+00,9.049947529846168182e-02,2.429472876038477391e+00
