# Q(1/A)  I_MAP  dI_MAP
6.802499513600528472e-03 1.232229865640401840e+03 2.752552893578214466e+01
6.923184029369445006e-03 1.154988494977355003e+03 2.547758770529034322e+01
7.046009633471732314e-03 1.082804973259568214e+03 2.359401774475563585e+01
7.171014311387324640e-03 1.015284058421850204e+03 2.186260792273203180e+01
7.298236722504217525e-03 9.520699215829372406e+02 2.027103631237165615e+01
7.427716212074391040e-03 8.928425429165363312e+02 1.880712357555719549e+01
7.559492823381881027e-03 8.373142181858420372e+02 1.745909165561625187e+01
7.693607310126696769e-03 7.852261915542185307e+02 1.621581499007177030e+01
7.830101149028469154e-03 7.363454294453840703e+02 1.506701908937205658e+01
7.969016552653683874e-03 6.904616223983466625e+02 1.400343348770508101e+01
8.110396482470460036e-03 6.473843659758567810e+02 1.301685663557613992e+01
8.254284662134995024e-03 6.069405670166015625e+02 1.210016865888597160e+01
8.400725591013685420e-03 5.689721294790506363e+02 1.124727190636437690e+01
8.549764557945174065e-03 5.333338271975517273e+02 1.045300128675390994e+01
8.701447655246524748e-03 4.998914587795734406e+02 9.712990971040570187e+00
8.855821792967876957e-03 4.685202270448207855e+02 9.023519091216618548e+00
9.012934713400030246e-03 4.391033627092838287e+02 8.381371650694790176e+00
9.172835005839421671e-03 4.115309465825557709e+02 7.783703765658315454e+00
9.335572121614958002e-03 3.856989445090293884e+02 7.227917419434727542e+00
9.501196389381580745e-03 3.615084468722343445e+02 6.711565869792275763e+00
9.669759030685025694e-03 3.388650442957878113e+02 6.232296704810905474e+00
9.841312175802793827e-03 3.176784030795097351e+02 5.787806406828901906e+00
1.001590887986618383e-02 2.978618864417076111e+02 5.375820718250878372e+00
1.019360313926825738e-02 2.793323702812194824e+02 4.994105870406055026e+00
1.037444990836298292e-02 2.620101144313812256e+02 4.640479088746732650e+00
1.055850511646059219e-02 2.458186605572700500e+02 4.312840545034621442e+00
1.074582568512450452e-02 2.306848631501197815e+02 4.009203336732083400e+00
1.093646954577506998e-02 2.165388756990432739e+02 3.727701648807148160e+00
1.113049565760565116e-02 2.033141998052597046e+02 3.466621364395314320e+00
1.132796402581655142e-02 1.909477595090866089e+02 3.224411808756935560e+00
1.152893572017243441e-02 1.793798911571502686e+02 2.999654114175082764e+00
1.173347289388896805e-02 1.685544178485870361e+02 2.791099680548477568e+00
1.194163880285455982e-02 1.584186458587646484e+02 2.597607788551715036e+00
1.215349782519309536e-02 1.489233326911926270e+02 2.418138340932683761e+00
