# Q(1/A)  I_MAP  dI_MAP
7.480310756500834629e-03 7.915635280609130859e+02 1.614747898041968810e+01
7.611905730826079748e-03 7.426832593083381653e+02 1.500371187695464670e+01
7.745815747645062692e-03 6.968486552238464355e+02 1.394788251003254942e+01
7.882081533602362799e-03 6.538505126237869263e+02 1.297106339376943929e+01
8.020744531813027434e-03 6.134992285966873169e+02 1.206534285967594045e+01
8.161846914466849845e-03 5.756225142478942871e+02 1.122385878847001628e+01
8.305431595654383728e-03 5.400633778572082520e+02 1.044076030315837755e+01
8.451542244418590658e-03 5.066782379150390625e+02 9.711127036125496659e+00
8.600223298036108535e-03 4.753352308273315430e+02 9.030858859663574378e+00
8.751519975532143919e-03 4.459126992225646973e+02 8.396520039104881761e+00
8.905478291433137697e-03 4.182979040145874023e+02 7.805193849315378962e+00
9.062145069761391725e-03 3.923857846260070801e+02 7.254353761606553874e+00
9.221567958275818030e-03 3.680780706405639648e+02 6.741726361149144253e+00
9.383795442963294847e-03 3.452823667526245117e+02 6.265184800816245847e+00
9.548876862784907299e-03 3.239114899635314941e+02 5.822687552851755655e+00
9.716862424681659352e-03 3.038828744888305664e+02 5.412214395859429317e+00
9.887803218844075370e-03 2.851181073188781738e+02 5.031745080698038386e+00
1.006175123425052942e-02 2.675425620079040527e+02 4.679275418130536046e+00
1.023875937447886117e-02 2.510851235389709473e+02 4.352795739465811664e+00
1.041888147379618768e-02 2.356779923439025879e+02 4.050353216145119006e+00
1.060217231353174742e-02 2.212564573287963867e+02 3.770056937923556895e+00
1.078868763873778829e-02 2.077588787078857422e+02 3.510120473679798625e+00
1.097848417514357341e-02 1.951265058517456055e+02 3.268885978364920231e+00
1.117161964640759654e-02 1.833035402297973633e+02 3.044829792345619346e+00
1.136815279167335130e-02 1.722369489669799805e+02 2.836581070441924091e+00
1.156814338343394206e-02 1.618766126632690430e+02 2.642915172749886299e+00
1.177165224571092260e-02 1.521751041412353516e+02 2.462748124842655262e+00
1.197874127255299515e-02 1.430877990722656250e+02 2.295103051359006496e+00
1.218947344686011069e-02 1.345727500915527344e+02 2.139131122210093050e+00
1.240391285953875919e-02 1.265906944274902344e+02 1.994047844621744447e+00
1.262212472899418465e-02 1.191049070358276367e+02 1.859136998948537789e+00
1.284417542096556730e-02 1.120812311172485352e+02 1.733731537096966369e+00
1.307013246871014008e-02 1.054879150390625000e+02 1.617215805911698556e+00
1.330006459354234928e-02 9.929549026489257812e+01 1.508972038358838530e+00
1.353404172573438591e-02 9.347678756713867188e+01 1.408467219081282806e+00
1.377213502578438116e-02 8.800665664672851562e+01 1.315114641305232590e+00
