# Q(1/A)  I_MAP  dI_MAP
2.537151868900946929e-03 5.832814791419729590e+04 2.216575353844445544e+03
2.581785901619051624e-03 5.490295036442577839e+04 2.100612839093996627e+03
2.627205144281072845e-03 5.167539403905346990e+04 1.989630075881425910e+03
2.673423410441788488e-03 4.863259265632554889e+04 1.883301709140619323e+03
2.720454756666523029e-03 4.576257953623309731e+04 1.781331477677973908e+03
2.768313486806230420e-03 4.305426881391927600e+04 1.683453597342171179e+03
2.817014156347783741e-03 4.049741322547197342e+04 1.589433343217460333e+03
2.866571576840812579e-03 3.808255916278809309e+04 1.499066863415673652e+03
2.917000820402386972e-03 3.580099969739466906e+04 1.412180289255275738e+03
2.968317224300977795e-03 3.364472621760517359e+04 1.328628224283444752e+03
3.020536395621046654e-03 3.160637931849062443e+04 1.248291708151822377e+03
3.073674216009695571e-03 2.967919952683150768e+04 1.171075758148893328e+03
3.127746846506824097e-03 2.785697840693593025e+04 1.096906599524936610e+03
3.182770732460255773e-03 2.613401055000722408e+04 1.025728679867739856e+03
3.238762608527337092e-03 2.450504688984900713e+04 9.575015732376281221e+02
3.295739503764519903e-03 2.296524975135922432e+04 8.921968554539048455e+02
3.353718746806481563e-03 2.151014996413886547e+04 8.297950307149757236e+02
3.412717971136373148e-03 2.013560634729266167e+04 7.702825721903635667e+02
3.472755120448746576e-03 1.883776777884364128e+04 7.136491328702758210e+02
3.533848454106864549e-03 1.761303805953264236e+04 6.598849615120877843e+02
3.596016552695994496e-03 1.645804366806149483e+04 6.089785599810317080e+02
3.659278323674417313e-03 1.536960452973842621e+04 5.609145936842154470e+02
3.723653007123814071e-03 1.434470778273046017e+04 5.156720676279010149e+02
3.789160181600854330e-03 1.338048457925021648e+04 4.732227696979400662e+02
3.855819770091701692e-03 1.247418982799351215e+04 4.335299710491560745e+02
3.923652046071282769e-03 1.162318482160568237e+04 3.965473798125360645e+02
3.992677639669144941e-03 1.082492260643839836e+04 3.622183309734791692e+02
4.062917543943793744e-03 1.007693594639003277e+04 3.304752064810518277e+02
4.134393121267398996e-03 9.376827726379036903e+03 3.012390768516334560e+02
4.207126109822831653e-03 8.722263566762208939e+03 2.744195733293405510e+02
4.281138630214985537e-03 8.110966485947370529e+03 2.499150012059275809e+02
4.356453192198436568e-03 7.540713336080312729e+03 2.276127312342652544e+02
4.433092701523402325e-03 7.009332851707935333e+03 2.073899121110927410e+02
4.511080466902189431e-03 6.514705012649297714e+03 1.891145584844644532e+02
4.590440207098165325e-03 6.054761575609445572e+03 1.726470651964323508e+02
4.671196058139471391e-03 5.627487471252679825e+03 1.578421764185833069e+02
