q_A^-1,intensity,sigma,intensity_fit
6.121310081730308751e-03,1.935004577398300171e+03,4.653687756019927235e+01,1.934167879677686869e+03
6.229909478409132242e-03,1.810392608165740967e+03,4.313372254547343232e+01,1.809738817546073960e+03
6.340435558886282907e-03,1.694555686950683594e+03,3.996841070226512471e+01,1.694204606300375872e+03
6.452922504847585436e-03,1.586792093038558960e+03,3.702832024811183231e+01,1.586404003770327563e+03
6.567405104403065304e-03,1.486454830884933472e+03,3.430180839909525758e+01,1.486015695078849603e+03
6.683918762845597952e-03,1.392949370384216309e+03,3.177765586432462541e+01,1.393041843287923484e+03
6.802499513600528472e-03,1.305731141567230225e+03,2.944467516234913163e+01,1.306619383885292336e+03
6.923184029369445006e-03,1.224302794814109802e+03,2.729148143288065498e+01,1.225041595659810127e+03
7.046009633471732314e-03,1.148211330413818359e+03,2.530641104848787748e+01,1.147403984288160927e+03
7.171014311387324640e-03,1.077045088291168213e+03,2.347755585915776422e+01,1.074716420076692657e+03
7.298236722504217525e-03,1.010430713653564453e+03,2.179289409421587109e+01,1.008524739240102008e+03
7.427716212074391040e-03,9.480300716161727905e+02,2.024048287249148359e+01,9.484229926717728176e+02
7.559492823381881027e-03,8.895372164249420166e+02,1.880868430744684616e+01,8.918000810681547819e+02
7.693607310126696769e-03,8.346754176616668701e+02,1.748638997130384354e+01,8.365101450144668433e+02
7.830101149028469154e-03,7.831942710876464844e+02,1.626321695258882727e+01,7.830582523448244956e+02
7.969016552653683874e-03,7.348669841289520264e+02,1.512967136850612881e+01,7.333968088368351346e+02
8.110396482470460036e-03,6.894877490997314453e+02,1.407723674448759077e+01,6.882191530316388253e+02
8.254284662134995024e-03,6.468693461418151855e+02,1.309842498279962264e+01,6.464927920054649348e+02
8.400725591013685420e-03,6.068409078121185303e+02,1.218674908794464073e+01,6.072163918420054642e+02
8.549764557945174065e-03,5.692458682060241699e+02,1.133666468259021443e+01,5.702287945934001527e+02
8.701447655246524748e-03,5.339401326179504395e+02,1.054346606511633588e+01,5.352204895636511992e+02
8.855821792967876957e-03,5.007904345989227295e+02,9.803160286311811689e+00,5.014212091816541488e+02
9.012934713400030246e-03,4.696729116439819336e+02,9.112327031925905985e+00,4.688479257652292631e+02
9.172835005839421671e-03,4.404718308448791504e+02,8.468001329049792858e+00,4.387680772121478867e+02
